title,link,date
코로나19 감염증 예방행동수칙 내용 보기,?menuID=139&pno=1&mode=view&no=42623,2020.01.28
2020학년도 하계 계절학기 추가분반 증설 안내 내용 보기,?menuID=139&pno=1&mode=view&no=43521,2020.05.28
[창업교육센터] 전대 창업서포터즈 8기 모집!! 내용 보기,?menuID=139&pno=1&mode=view&no=43519,2020.05.28
[창업교육센터] 2020년 ICT 디바이스랩 창업 아카데미(하기 계절수업 '벤처창업론') 수강생 모집 내용 보기,?menuID=139&pno=1&mode=view&no=43518,2020.05.28
[캠틱종합기술원]2020년 기계부품설계분야 취업 끝장반 모집 내용 보기,?menuID=139&pno=1&mode=view&no=43517,2020.05.28
출근 버스 결행 안내(1호차) 내용 보기,?menuID=139&pno=1&mode=view&no=43516,2020.05.28
2020학년도 <취업동아리> 모집 안내 내용 보기,?menuID=139&pno=1&mode=view&no=43515,2020.05.28
[현장실습지원센터] 2020학년도 하기 계절제 산학협력현장실습 실습생 모집 안내  ~6월 1일 마감) 내용 보기,?menuID=139&pno=1&mode=view&no=43514,2020.05.28
[2020-1 학습법 워크숍] 시험관리 전략 (6.4목) 내용 보기,?menuID=139&pno=1&mode=view&no=43513,2020.05.27
2020학년도 1학기 생활관 특별충원 안내(3차-2020.06.02) 내용 보기,?menuID=139&pno=2&mode=view&no=43512,2020.05.27
전북대학교 제52대 중앙운영위원회 17차 회의록 내용 보기,?menuID=139&pno=2&mode=view&no=43511,2020.05.27
제15회 대한민국 보조공학기기 박람회 개최 안내 내용 보기,?menuID=139&pno=2&mode=view&no=43510,2020.05.27
농생명 ICT융복합 창업지원사업 교육생 모집 안내 내용 보기,?menuID=139&pno=2&mode=view&no=43509,2020.05.27
농생명 ICT융복합 인력양성사업 교육생 모집 안내 내용 보기,?menuID=139&pno=2&mode=view&no=43508,2020.05.27
차세대 디스플레이 실습교육 심화 과정 모집 안내 내용 보기,?menuID=139&pno=2&mode=view&no=43507,2020.05.27
[제1회 부마민주행장 문학.창작 공모전] 홍보 안내 내용 보기,?menuID=139&pno=2&mode=view&no=43506,2020.05.27
2020학년도 2학기 성적우수장학생 선발을 위한 공인외국어성적 학과 제출 안내 내용 보기,?menuID=139&pno=2&mode=view&no=43505,2020.05.27
[현장실습지원센터] 2020학년도 하기 계절제 산학협력현장실습 실습생 모집 안내 내용 보기,?menuID=139&pno=2&mode=view&no=43504,2020.05.27
2020년도 한국장학재단 인문100년 및 예술체육비전장학금 신규 장학생 선발 결과 안내 내용 보기,?menuID=139&pno=3&mode=view&no=43503,2020.05.27
출근 버스 결행 안내(1호차) 내용 보기,?menuID=139&pno=3&mode=view&no=43502,2020.05.26
[혁신교육개발원] 2020학년도 1학기 기초학력인증제 평가 참여 안내 내용 보기,?menuID=139&pno=3&mode=view&no=43501,2020.05.26
[행복드림] 대인관계 역량강화 프로그램 안내 내용 보기,?menuID=139&pno=3&mode=view&no=43500,2020.05.26
[행복드림] 자기탐색 집단상담 안내 (마감) 내용 보기,?menuID=139&pno=3&mode=view&no=43499,2020.05.26
[창업교육센터] 전대 창업서포터즈 8기 모집!! 내용 보기,?menuID=139&pno=3&mode=view&no=43498,2020.05.26
[창업교육센터] 2020년 ICT 디바이스랩 창업 아카데미(하기 계절수업 '벤처창업론') 수강생 모집 내용 보기,?menuID=139&pno=3&mode=view&no=43497,2020.05.26
2021년 현역병 입영일자 본인선택 접수일정 안내 내용 보기,?menuID=139&pno=3&mode=view&no=43496,2020.05.26
2020학년도 <취업동아리> 모집 안내 내용 보기,?menuID=139&pno=3&mode=view&no=43495,2020.05.26
[2020-1 학습법 워크숍] 효율적인 시간관리 (6.3수) 내용 보기,?menuID=139&pno=4&mode=view&no=43493,2020.05.26
[yellow belt] 2020-취업트렌드 특강(3~4차) 참가자 추가모집 내용 보기,?menuID=139&pno=4&mode=view&no=43492,2020.05.25
공과대학 채용연계형 R&D 전문인력 산업인턴 안내(9월 인턴시작 예정) 내용 보기,?menuID=139&pno=4&mode=view&no=43491,2020.05.25
중앙도서관 사물함 정리 및 신청 안내 내용 보기,?menuID=139&pno=4&mode=view&no=43490,2020.05.25
-마감-<창업지원단> 하기 계절수업 -친산업교과목 수강신청 안내 내용 보기,?menuID=139&pno=4&mode=view&no=43489,2020.05.25
2020-하기 계절학기 취업교과목 개설 및 수강신청 안내 내용 보기,?menuID=139&pno=4&mode=view&no=43488,2020.05.25
"[언어교육부] 2020년 6월 토익강좌, 모의토익 안내 내용 보기",?menuID=139&pno=4&mode=view&no=43487,2020.05.25
2020학년도 제2학기 해외어학연수 파견학생 온라인 신청 안내 내용 보기,?menuID=139&pno=4&mode=view&no=43486,2020.05.25
MATLAB 소프트웨어 온라인 특강 안내 내용 보기,?menuID=139&pno=4&mode=view&no=43485,2020.05.25
동국대학교 서울캠퍼스 2020학년도 여름계절학기 학점교류 수학 안내 내용 보기,?menuID=139&pno=5&mode=view&no=43483,2020.05.25
목포해양대학교 2020학년도 여름 계절학기 교류 수학 안내 내용 보기,?menuID=139&pno=5&mode=view&no=43482,2020.05.25
제18회 대한민국 창작만화 공모전 행사 안내 내용 보기,?menuID=139&pno=5&mode=view&no=43481,2020.05.25
2020학년도 하기 계절수업 1차 수강신청 바로가기 내용 보기,?menuID=139&pno=5&mode=view&no=43480,2020.05.25
2020학년도 하기 계절수업 일정안내 내용 보기,?menuID=139&pno=5&mode=view&no=43479,2020.05.25
전북청년허브센터 안내 내용 보기,?menuID=139&pno=5&mode=view&no=43478,2020.05.25
[2020-1 학습법 워크숍] 시험관리 전략 안내 (6.2화) 내용 보기,?menuID=139&pno=5&mode=view&no=43477,2020.05.25
(1차 마감)[LINC+]2020학년도 하기 계절수업 '융합캡스톤디자인' 신청 안내 내용 보기,?menuID=139&pno=5&mode=view&no=43475,2020.05.22
[대학생활과 진로설계]2020년도 1학기 재학생 멘토링 박람회 신청 안내 내용 보기,?menuID=139&pno=5&mode=view&no=43474,2020.05.22
